project_id,job_bc_code,job_bc_code_description
36462,3291.0,Acc Struct to 1 or 2 Family
284935,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
284945,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
284944,4380.0,Add/Alt Tenant Improvements
284944,4380.0,Add/Alt Tenant Improvements
284946,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
284954,1010.0,One Family Detached
284954,1010.0,One Family Detached
284954,1010.0,One Family Detached
284954,1010.0,One Family Detached
284954,1010.0,One Family Detached
284954,1010.0,One Family Detached
284729,4380.0,Add/Alt Tenant Improvements
284974,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
284729,3282.0,Acc Bldg to 3+ Fam or NonRes
285003,4380.0,Add/Alt Tenant Improvements
285020,4380.0,Add/Alt Tenant Improvements
285042,4380.0,Add/Alt Tenant Improvements
285051,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285054,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285054,3281.0,Acc Bldg to 1 or 2 Fam 
285077,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285084,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285086,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36471,4380.0,Add/Alt Tenant Improvements
285093,4380.0,Add/Alt Tenant Improvements
285097,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285109,1010.0,One Family Detached
285112,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285109,1010.0,One Family Detached
285109,1010.0,One Family Detached
36479,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285116,4380.0,Add/Alt Tenant Improvements
285122,4380.0,Add/Alt Tenant Improvements
285123,4373.0,Add/Alt NonRes Bldg or Struct
285132,4380.0,Add/Alt Tenant Improvements
285153,4380.0,Add/Alt Tenant Improvements
285160,4380.0,Add/Alt Tenant Improvements
285178,3293.0,Pool or Spa/1 or 2 Family
285177,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285194,1010.0,One Family Detached
285191,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285201,3291.0,Acc Struct to 1 or 2 Family
285198,4380.0,Add/Alt Tenant Improvements
285202,3295.0,ACC STRUCT- NON RES
285211,4380.0,Add/Alt Tenant Improvements
285222,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
36491,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285243,3270.0,Store/Mercantile Building
285258,4380.0,Add/Alt Tenant Improvements
36495,3295.0,ACC STRUCT- NON RES
285268,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285270,4361.0,Add/Alt 1 or 2 Fam Res Garages
285283,4380.0,Add/Alt Tenant Improvements
285279,4380.0,Add/Alt Tenant Improvements
285295,4380.0,Add/Alt Tenant Improvements
35666,1051.0,Five or More Family Apt
285322,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285321,3291.0,Acc Struct to 1 or 2 Family
285342,4380.0,Add/Alt Tenant Improvements
36506,6490.0,Demo of NonRes Buildings
285358,4380.0,Add/Alt Tenant Improvements
285355,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285357,1042.0,Three or Four Family Condo
285362,4341.0,"Add/Alt 1 or 2 Fam, No Chg DU"
285357,1042.0,Three or Four Family Condo
