SNAME,CNAME,ACT_DATE,DEACT_DATE,TRACK_SIGN,TOT_HIST,TOT_FRESH,TOT_SIGHT,VEG_CAT,TRANSID,SECTION,TRANSNAME,SITE,LAT_MID,LONG_MID
Lepus californicus,Black Tailed Jackrabbit,7/15/1996,5/31/2013,Tracks,0,1,1,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Scat,16,11,27,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Tracks,0,10,10,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Puma concolor,Cougar,7/15/1996,5/31/2013,Scat,1,0,1,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Canis latrans,Coyote,7/15/1996,5/31/2013,Scat,82,37,119,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Canis latrans,Coyote,7/15/1996,5/31/2013,Tracks,5,65,70,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Urocyon cinereoargenteus,Gray Fox,7/15/1996,5/31/2013,Scat,1,2,3,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Urocyon cinereoargenteus,Gray Fox,7/15/1996,5/31/2013,Tracks,0,11,11,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Browse,2,11,13,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Scat,0,1,1,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Tracks,17,102,119,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Didelphis virginiana,Opossum,7/15/1996,5/31/2013,Tracks,0,9,9,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Procyon lotor,Raccoon,7/15/1996,5/31/2013,Scat,3,3,6,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Procyon lotor,Raccoon,7/15/1996,5/31/2013,Tracks,5,51,56,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Den/Bed Site,1,105,106,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Scat,0,3,3,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Tracks,0,18,18,Riparian and Bottomland Habitat,1,1,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944167,117.096067
Lepus californicus,Black Tailed Jackrabbit,7/15/1996,5/31/2013,Tracks,0,1,1,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Evidence of Predation,0,1,1,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Scat,8,9,17,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Tracks,0,7,7,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Puma concolor,Cougar,7/15/1996,5/31/2013,Scat,1,0,1,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Canis latrans,Coyote,7/15/1996,5/31/2013,Scat,54,20,74,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Canis latrans,Coyote,7/15/1996,5/31/2013,Tracks,2,39,41,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Urocyon cinereoargenteus,Gray Fox,7/15/1996,5/31/2013,Scat,3,8,11,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Urocyon cinereoargenteus,Gray Fox,7/15/1996,5/31/2013,Tracks,0,3,3,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Browse,1,1,2,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Den/Bed Site,0,1,1,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Odocoileus hemionus,Mule Deer,7/15/1996,5/31/2013,Tracks,4,51,55,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Didelphis virginiana,Opossum,7/15/1996,5/31/2013,Tracks,0,3,3,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Procyon lotor,Raccoon,7/15/1996,5/31/2013,Tracks,0,23,23,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Den/Bed Site,5,156,161,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Scat,1,8,9,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Neotoma lepida,Woodrat/Packrat,7/15/1996,5/31/2013,Tracks,0,17,17,Scrub and Chaparral,1,2,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.945292,117.0975
Taxidea taxus,Badger,7/15/1996,5/31/2013,Evidence of Predation,0,1,1,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Evidence of Predation,1,0,1,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Scat,47,27,74,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Lynx rufus,Bobcat,7/15/1996,5/31/2013,Tracks,4,15,19,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Puma concolor,Cougar,7/15/1996,5/31/2013,Scat,5,4,9,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Canis latrans,Coyote,7/15/1996,5/31/2013,Scat,126,49,175,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Canis latrans,Coyote,7/15/1996,5/31/2013,Tracks,17,100,117,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Urocyon cinereoargenteus,Gray Fox,7/15/1996,5/31/2013,Scat,12,9,21,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Urocyon cinereoargenteus,Gray Fox,7/15/1996,5/31/2013,Tracks,0,9,9,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
Mustela frenata,Long Tailed Weasel,7/15/1996,5/31/2013,Scat,0,3,3,Scrub and Chaparral,1,3,Sabre Springs to Mercy Property,Los Penasquitos Canyon Preserve,32.944575,117.099183
