species_scientific_name,species_common_name,observation_date,track_type,total_sightings,vegetation_category,location_name,reserve_name,lat,long
Lepus californicus,Black Tailed Jackrabbit,1996-07-15,Tracks,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Lynx rufus,Bobcat,1996-07-15,Scat,27,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Lynx rufus,Bobcat,1996-07-15,Tracks,10,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Puma concolor,Cougar,1996-07-15,Scat,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Canis latrans,Coyote,1996-07-15,Scat,119,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Canis latrans,Coyote,1996-07-15,Tracks,70,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Scat,3,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Tracks,11,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,13,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Odocoileus hemionus,Mule Deer,1996-07-15,Scat,1,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,119,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Didelphis virginiana,Opossum,1996-07-15,Tracks,9,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Procyon lotor,Raccoon,1996-07-15,Scat,6,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Procyon lotor,Raccoon,1996-07-15,Tracks,56,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Neotoma lepida,Woodrat/Packrat,1996-07-15,Den/Bed Site,106,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Neotoma lepida,Woodrat/Packrat,1996-07-15,Scat,3,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Neotoma lepida,Woodrat/Packrat,1996-07-15,Tracks,18,Riparian and Bottomland Habitat,Sabre Springs to Mercy Property - Section: 1,Los Penasquitos Canyon Preserve,32.944167,117.09606699999999
Lepus californicus,Black Tailed Jackrabbit,1996-07-15,Tracks,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Lynx rufus,Bobcat,1996-07-15,Evidence of Predation,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Lynx rufus,Bobcat,1996-07-15,Scat,17,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Lynx rufus,Bobcat,1996-07-15,Tracks,7,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Puma concolor,Cougar,1996-07-15,Scat,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Canis latrans,Coyote,1996-07-15,Scat,74,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Canis latrans,Coyote,1996-07-15,Tracks,41,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Scat,11,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Tracks,3,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,2,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Odocoileus hemionus,Mule Deer,1996-07-15,Den/Bed Site,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Odocoileus hemionus,Mule Deer,1996-07-15,Tracks,55,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Didelphis virginiana,Opossum,1996-07-15,Tracks,3,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Procyon lotor,Raccoon,1996-07-15,Tracks,23,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Neotoma lepida,Woodrat/Packrat,1996-07-15,Den/Bed Site,161,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Neotoma lepida,Woodrat/Packrat,1996-07-15,Scat,9,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Neotoma lepida,Woodrat/Packrat,1996-07-15,Tracks,17,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 2,Los Penasquitos Canyon Preserve,32.945291999999995,117.0975
Taxidea taxus,Badger,1996-07-15,Evidence of Predation,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Lynx rufus,Bobcat,1996-07-15,Evidence of Predation,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Lynx rufus,Bobcat,1996-07-15,Scat,74,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Lynx rufus,Bobcat,1996-07-15,Tracks,19,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Puma concolor,Cougar,1996-07-15,Scat,9,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Canis latrans,Coyote,1996-07-15,Scat,175,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Canis latrans,Coyote,1996-07-15,Tracks,117,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Scat,21,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Urocyon cinereoargenteus,Gray Fox,1996-07-15,Tracks,9,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Mustela frenata,Long Tailed Weasel,1996-07-15,Scat,3,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Mustela frenata,Long Tailed Weasel,1996-07-15,Tracks,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Odocoileus hemionus,Mule Deer,1996-07-15,Browse,17,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
Odocoileus hemionus,Mule Deer,1996-07-15,Scat,1,Scrub and Chaparral,Sabre Springs to Mercy Property - Section: 3,Los Penasquitos Canyon Preserve,32.944575,117.09918300000001
